LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
191000.0,2,1,1,33,1,0,0,1,1,-1,38600.0,144800.0,60900.0,38700.0,104900.0,90700.0,4800.0,26900.0,5000.0,17300.0,7100.0,25000.0,0
120000.0,2,2,2,36,-1,-1,-1,0,2,2,8100.0,8800.0,23100.0,10300.0,56000.0,63700.0,4000.0,4100.0,17800.0,4400.0,8700.0,4700.0,0
111000.0,1,1,1,35,0,0,1,-1,1,0,112300.0,45500.0,43300.0,18000.0,22600.0,48000.0,15900.0,6500.0,4500.0,10500.0,31300.0,15800.0,0
111000.0,2,1,2,37,1,0,0,0,0,0,32500.0,135800.0,20900.0,27100.0,71800.0,60000.0,15000.0,2300.0,23100.0,3700.0,13000.0,7900.0,0
372000.0,2,2,2,22,0,-1,0,0,0,0,66800.0,53000.0,29700.0,78700.0,85400.0,43700.0,1600.0,8300.0,4600.0,3500.0,7000.0,1100.0,0
229000.0,2,3,1,47,0,-1,0,0,0,0,119000.0,72400.0,13400.0,76100.0,36300.0,17800.0,24800.0,10100.0,10400.0,10700.0,7000.0,11600.0,1
90000.0,1,3,3,29,-1,0,1,2,3,0,247300.0,13100.0,43200.0,20700.0,17800.0,137500.0,9700.0,8000.0,22200.0,10100.0,9200.0,7500.0,0
198000.0,1,3,2,38,-1,3,0,2,0,0,98400.0,42000.0,107500.0,38600.0,41200.0,38700.0,4000.0,10900.0,3800.0,16200.0,2800.0,9600.0,0
160000.0,2,1,2,40,2,0,0,-1,-1,0,6300.0,6300.0,180600.0,80500.0,28900.0,28400.0,4100.0,21500.0,1800.0,5500.0,20100.0,1000.0,0
17000.0,1,3,1,40,0,0,2,1,0,0,18100.0,26500.0,45300.0,28300.0,90200.0,56200.0,13100.0,3400.0,10000.0,9100.0,25200.0,1700.0,0
54000.0,2,2,2,25,3,0,0,0,-1,-1,12200.0,15500.0,30300.0,75800.0,23500.0,31600.0,12500.0,9900.0,2900.0,6500.0,4800.0,2900.0,0
168000.0,2,2,2,21,0,-1,0,-1,-1,2,29800.0,76200.0,38700.0,62400.0,121600.0,28500.0,5000.0,7400.0,3300.0,4200.0,2800.0,15700.0,0
349000.0,1,1,1,50,-1,0,0,0,0,3,31600.0,23700.0,67900.0,53400.0,238400.0,72200.0,4500.0,4800.0,17500.0,14900.0,35800.0,8100.0,0
111000.0,2,2,2,45,0,1,1,0,-1,0,20100.0,68100.0,108500.0,116700.0,90600.0,31400.0,17400.0,6100.0,2400.0,4300.0,11200.0,1100.0,0
